iter	Passed	Remaining
614	24593	115369
615	24633	115328
616	24671	115278
617	24705	115214
618	24748	115188
619	24786	115136
620	24819	115067
621	24856	115010
622	24900	114988
623	24940	114949
624	24976	114889
625	25011	114829
626	25046	114764
627	25083	114713
628	25121	114663
629	25159	114615
630	25193	114546
631	25229	114489
632	25268	114445
633	25308	114405
634	25349	114370
635	25386	114319
636	25424	114268
637	25487	114334
638	25521	114269
639	25559	114219
640	25600	114182
641	25640	114142
642	25678	114096
643	25716	114047
644	25753	113995
645	25793	113952
646	25834	113917
647	25871	113867
648	25909	113817
649	25945	113761
650	25981	113705
651	26020	113660
652	26058	113611
653	26097	113567
654	26139	113538
655	26180	113500
656	26218	113455
657	26260	113423
658	26297	113371
659	26335	113322
660	26376	113288
661	26417	113250
662	26453	113196
663	26492	113150
664	26530	113101
665	26572	113072
666	26612	113034
667	26653	112996
668	26692	112954
669	26733	112918
670	26769	112864
671	26808	112820
672	26849	112785
673	26888	112741
674	26926	112691
675	26962	112637
676	26997	112576
677	27034	112523
678	27072	112478
679	27112	112437
680	27156	112415
681	27191	112353
682	27231	112315
683	27270	112272
684	27315	112254
685	27353	112205
686	27394	112170
687	27432	112124
688	27469	112071
689	27505	112014
690	27543	111969
691	27581	111920
692	27620	111877
693	27660	111837
694	27696	111781
695	27733	111730
696	27775	111699
697	27816	111662
698	27856	111626
699	27893	111572
700	27937	111548
701	27972	111490
702	28007	111433
703	28048	111397
704	28091	111368
705	28131	111331
706	28173	111298
707	28210	111247
708	28245	111189
709	28281	111135
710	28327	111118
711	28363	111062
712	28403	111022
713	28444	110987
714	28483	110948
715	28518	110889
716	28555	110836
717	28589	110774
718	28628	110732
719	28665	110681
720	28706	110643
721	28744	110598
722	28782	110550
723	28826	110526
724	28860	110467
725	28896	110413
726	28936	110372
727	28974	110325
728	29014	110287
729	29058	110264
730	29098	110225
731	29142	110200
732	29194	110206
733	29236	110175
734	29278	110143
735	29316	110095
736	29355	110052
737	29399	110027
738	29438	109986
739	29477	109941
740	29517	109904
741	29554	109853
742	29592	109805
743	29631	109764
744	29665	109700
745	29704	109658
746	29739	109601
747	29781	109571
748	29820	109528
749	29856	109474
750	29893	109423
751	29934	109387
752	29971	109336
753	30011	109299
754	30046	109243
755	30086	109202
756	30126	109162
757	30164	109118
758	30203	109073
759	30244	109039
760	30283	108996
761	30318	108939
762	30354	108886
763	30390	108831
764	30429	108789
765	30465	108737
766	30504	108693
767	30540	108642
768	30582	108608
769	30626	108583
770	30663	108535
771	30704	108498
772	30743	108457
773	30780	108406
774	30816	108353
775	30852	108303
776	30887	108246
777	30928	108209
778	30967	108168
779	31008	108131
780	31050	108098
781	31085	108045
782	31125	108005
783	31162	107955
784	31201	107913
785	31241	107873
786	31299	107897
787	31350	107895
788	31389	107852
789	31426	107805
790	31464	107757
791	31496	107693
792	31532	107640
793	31568	107585
794	31603	107530
795	31643	107491
796	31680	107443
797	31721	107409
798	31755	107350
799	31798	107319
800	31838	107282
801	31881	107251
802	31915	107194
803	31958	107163
804	31998	107124
805	32038	107085
806	32079	107050
807	32117	107004
808	32157	106967
809	32197	106926
810	32233	106875
811	32274	106838
812	32318	106814
813	32355	106764
814	32398	106735
815	32436	106691
816	32475	106649
817	32514	106607
818	32550	106555
819	32588	106509
820	32629	106473
821	32665	106421
822	32703	106377
823	32740	106328
824	32777	106278
825	32816	106237
826	32852	106185
827	32889	106137
828	32923	106079
829	32964	106042
830	33003	105999
831	33040	105952
832	33080	105913
833	33120	105873
834	33155	105818
835	33190	105764
836	33225	105711
837	33261	105660
838	33301	105621
839	33340	105579
840	33384	105552
841	33422	105507
842	33464	105474
843	33500	105422
844	33541	105388
845	33613	105448
846	33650	105400
847	33686	105349
848	33726	105311
849	33762	105260
850	33800	105215
851	33840	105175
852	33880	105136
853	33920	105098
854	33957	105048
855	33993	104999
856	34032	104956
857	34070	104912
858	34110	104874
859	34147	104824
860	34186	104782
861	34256	104837
862	34294	104790
863	34329	104737
864	34369	104697
865	34405	104647
866	34441	104596
867	34483	104561
868	34519	104513
869	34559	104471
870	34594	104418
871	34634	104380
872	34670	104329
873	34706	104277
874	34744	104232
875	34785	104198
876	34826	104161
877	34863	104113
878	34901	104068
879	34940	104026
880	34977	103979
881	35018	103943
882	35054	103891
883	35089	103838
884	35129	103800
885	35163	103744
886	35200	103697
887	35237	103649
888	35275	103604
889	35312	103556
890	35349	103510
891	35388	103466
892	35428	103428
893	35466	103385
894	35504	103339
895	35542	103294
896	35577	103242
897	35622	103217
898	35662	103178
899	35702	103140
900	35746	103113
901	35786	103074
902	35824	103031
903	35861	102982
904	35897	102933
905	35936	102891
906	35971	102838
907	36005	102782
908	36039	102726
909	36074	102674
910	36112	102630
911	36147	102576
912	36186	102533
913	36226	102497
914	36267	102460
915	36309	102426
916	36349	102389
917	36393	102362
918	36430	102313
919	36470	102275
920	36508	102232
921	36549	102197
922	36587	102151
923	36627	102113
924	36668	102076
925	36703	102025
926	36742	101982
927	36778	101932
928	36818	101895
929	36854	101845
930	36889	101793
931	36942	101789
932	36982	101752
933	37022	101713
934	37063	101676
935	37103	101638
936	37142	101596
937	37181	101556
938	37222	101520
939	37265	101488
940	37310	101465
941	37352	101431
942	37391	101390
943	37428	101342
944	37467	101300
945	37507	101261
946	37550	101231
947	37593	101202
948	37637	101173
949	37677	101134
950	37715	101090
951	37753	101046
952	37791	101002
953	37834	100972
954	37874	100931
955	37916	100897
956	37958	100865
957	37997	100823
958	38036	100783
959	38074	100738
960	38115	100703
961	38153	100657
962	38194	100623
963	38235	100586
964	38275	100548
965	38319	100518
966	38357	100474
967	38393	100424
968	38429	100376
969	38462	100320
970	38506	100292
971	38548	100258
972	38585	100212
973	38628	100180
974	38676	100161
975	38720	100135
976	38763	100101
977	38799	100052
978	38834	100000
979	38875	99965
980	38914	99925
981	38955	99886
982	38991	99839
983	39032	99802
984	39071	99760
985	39110	99720
986	39151	99684
987	39191	99644
988	39263	99685
989	39304	99649
990	39349	99625
991	39387	99579
992	39421	99525
993	39461	99488
994	39498	99440
995	39543	99413
996	39589	99390
997	39626	99344
998	39669	99313
999	39713	99282
1000	39751	99238
1001	39798	99217
1002	39834	99170
1003	39873	99127
1004	39913	99088
1005	39948	99038
1006	39987	98995
1007	40025	98952
1008	40068	98919
1009	40110	98886
1010	40150	98846
1011	40187	98800
1012	40230	98768
1013	40267	98722
1014	40305	98678
1015	40351	98654
1016	40421	98689
1017	40465	98659
1018	40508	98628
1019	40550	98593
1020	40593	98561
1021	40632	98519
1022	40683	98508
1023	40730	98485
1024	40782	98473
1025	40826	98446
1026	40868	98411
1027	40946	98463
1028	41002	98461
1029	41051	98443
1030	41092	98407
1031	41141	98389
1032	41189	98368
1033	41232	98337
1034	41284	98325
1035	41336	98312
1036	41381	98286
1037	41428	98261
1038	41473	98234
1039	41519	98209
1040	41566	98186
1041	41608	98151
1042	41653	98122
1043	41696	98091
1044	41742	98065
1045	41791	98045
1046	41831	98006
1047	41876	97977
1048	41918	97942
1049	41960	97908
1050	41998	97863
1051	42037	97821
1052	42074	97773
1053	42111	97726
1054	42156	97699
1055	42202	97673
1056	42247	97644
1057	42295	97623
1058	42339	97592
1059	42385	97566
1060	42431	97541
1061	42473	97505
1062	42511	97460
1063	42555	97429
1064	42604	97409
1065	42650	97383
1066	42689	97341
1067	42724	97289
1068	42768	97259
1069	42810	97224
1070	42868	97225
1071	42915	97201
1072	42955	97161
1073	42994	97118
1074	43042	97095
1075	43094	97082
1076	43167	97117
1077	43223	97111
1078	43274	97097
1079	43316	97062
1080	43358	97025
1081	43400	96988
1082	43438	96944
1083	43478	96905
1084	43522	96872
1085	43559	96825
1086	43596	96778
1087	43636	96738
1088	43675	96696
1089	43715	96655
1090	43749	96602
1091	43786	96554
1092	43824	96510
1093	43863	96467
1094	43901	96423
1095	43945	96391
1096	43983	96347
1097	44028	96316
1098	44068	96277
1099	44108	96237
1100	44145	96190
1101	44186	96151
1102	44224	96107
1103	44262	96061
1104	44297	96010
1105	44335	95965
1106	44373	95921
1107	44414	95883
1108	44451	95837
1109	44488	95790
1110	44524	95742
1111	44563	95699
1112	44596	95645
1113	44633	95597
1114	44672	95554
1115	44709	95507
1116	44746	95462
1117	44783	95415
1118	44822	95372
1119	44859	95326
1120	44898	95284
1121	44932	95231
1122	44970	95186
1123	45009	95145
1124	45048	95101
1125	45090	95065
1126	45129	95024
1127	45167	94978
1128	45203	94931
1129	45242	94888
1130	45285	94855
1131	45327	94818
1132	45366	94776
1133	45402	94728
1134	45440	94685
1135	45480	94644
1136	45520	94603
1137	45558	94559
1138	45591	94506
1139	45626	94454
1140	45662	94407
1141	45697	94356
1142	45736	94314
1143	45779	94280
1144	45817	94236
1145	45855	94191
1146	45891	94143
1147	45934	94109
1148	45968	94056
1149	46013	94026
1150	46057	93995
1151	46092	93945
1152	46130	93901
1153	46172	93866
1154	46211	93822
1155	46254	93789
1156	46294	93750
1157	46338	93718
1158	46377	93676
1159	46417	93635
1160	46462	93604
1161	46507	93575
1162	46544	93528
1163	46583	93488
1164	46622	93445
1165	46658	93396
1166	46695	93350
1167	46735	93311
1168	46773	93267
1169	46817	93235
1170	46862	93204
1171	46899	93158
1172	46935	93110
1173	46972	93064
1174	47009	93018
1175	47047	92974
1176	47090	92939
1177	47125	92891
1178	47169	92858
1179	47207	92815
1180	47249	92779
1181	47283	92727
1182	47320	92681
1183	47360	92641
1184	47400	92601
1185	47437	92555
1186	47472	92504
1187	47511	92462
1188	47545	92412
1189	47580	92362
1190	47619	92320
1191	47657	92276
1192	47693	92229
1193	47733	92187
1194	47767	92137
1195	47804	92091
1196	47845	92053
1197	47884	92011
1198	47920	91963
1199	47958	91921
1200	47998	91879
1201	48033	91830
1202	48074	91793
1203	48113	91750
1204	48148	91702
1205	48187	91659
1206	48231	91628
1207	48273	91590
1208	48326	91575
1209	48368	91539
1210	48403	91491
1211	48444	91452
1212	48482	91408
1213	48521	91367
1214	48559	91323
1215	48599	91284
1216	48638	91242
1217	48674	91195
1218	48709	91145
1219	48747	91101
1220	48784	91055
1221	48819	91007
1222	48860	90969
1223	48899	90927
1224	48933	90876
1225	48969	90828
1226	49003	90777
1227	49039	90731
1228	49074	90681
1229	49111	90636
1230	49147	90588
1231	49181	90539
1232	49217	90490
1233	49257	90452
1234	49294	90406
1235	49338	90373
1236	49374	90327
1237	49420	90297
1238	49461	90259
1239	49500	90219
1240	49539	90177
1241	49577	90133
1242	49615	90090
1243	49649	90038
1244	49690	90002
1245	49726	89953
1246	49762	89907
1247	49798	89859
1248	49841	89825
1249	49884	89791
1250	49922	89749
1251	49959	89704
1252	49997	89660
1253	50039	89623
1254	50081	89587
1255	50123	89551
1256	50158	89502
1257	50195	89458
1258	50232	89412
1259	50275	89378
1260	50318	89344
1261	50361	89309
1262	50408	89282
1263	50451	89247
1264	50500	89224
1265	50540	89183
1266	50581	89146
1267	50620	89105
1268	50659	89063
1269	50701	89027
1270	50742	88988
1271	50781	88946
1272	50832	88927
1273	50872	88886
1274	50919	88859
1275	50960	88820
1276	51002	88784
1277	51051	88761
1278	51122	88774
1279	51170	88748
1280	51216	88719
1281	51261	88687
1282	51305	88655
1283	51348	88619
1284	51384	88573
1285	51420	88525
1286	51455	88477
1287	51490	88429
1288	51532	88393
1289	51573	88355
1290	51617	88321
1291	51663	88292
1292	51706	88256
1293	51746	88216
1294	51784	88173
1295	51821	88128
1296	51862	88089
1297	51901	88049
1298	51944	88013
1299	51987	87979
1300	52025	87935
1301	52061	87888
1302	52105	87854
1303	52146	87816
1304	52191	87785
1305	52236	87753
1306	52273	87709
1307	52312	87667
1308	52347	87619
1309	52385	87575
1310	52426	87536
1311	52462	87491
1312	52506	87456
1313	52542	87411
1314	52582	87370
1315	52624	87334
1316	52665	87295
1317	52717	87276
1318	52760	87240
1319	52807	87212
1320	52846	87170
1321	52888	87134
1322	52928	87093
1323	52968	87054
1324	53012	87020
1325	53053	86982
1326	53102	86957
1327	53141	86915
1328	53180	86872
1329	53219	86831
1330	53260	86792
1331	53299	86751
1332	53343	86717
1333	53384	86679
1334	53428	86646
1335	53472	86612
1336	53514	86576
1337	53560	86545
1338	53602	86509
1339	53648	86478
1340	53690	86440
