iter	RMSE
1281	0.4561765892
1282	0.4560804499
1283	0.4560296698
1284	0.4559481836
1285	0.4558822422
1286	0.4558135164
1287	0.455783549
1288	0.4557208579
1289	0.455688062
1290	0.455649244
1291	0.4555682443
1292	0.4554904294
1293	0.4554049345
1294	0.4553602736
1295	0.4553331865
1296	0.4553015155
1297	0.455267388
1298	0.4552069782
1299	0.4551446036
1300	0.455073413
1301	0.455012752
1302	0.4549398639
1303	0.4549059449
1304	0.4548535043
1305	0.454760164
1306	0.454704933
1307	0.4546692654
1308	0.4546208947
1309	0.4545680622
1310	0.4544671971
1311	0.4544169604
1312	0.4543387317
1313	0.4542866021
1314	0.4541921966
1315	0.4541170489
1316	0.4540276595
1317	0.4539396266
1318	0.45390385
1319	0.453878841
1320	0.4538156962
1321	0.4537732403
1322	0.4537414793
1323	0.4536499365
1324	0.4535991548
1325	0.4535506003
1326	0.4534975609
1327	0.4534014598
1328	0.4533604414
1329	0.4532465413
1330	0.453178947
1331	0.4531051257
1332	0.4530191807
1333	0.452984814
1334	0.4529167949
1335	0.452852936
1336	0.4527873338
1337	0.4527130547
1338	0.4526452146
1339	0.4525954192
1340	0.4525500349
1341	0.4524814994
1342	0.4523888735
1343	0.4523316541
1344	0.4522795662
1345	0.4522073355
1346	0.4521635012
1347	0.452102325
1348	0.4520601837
1349	0.4520084263
1350	0.45195799
1351	0.4519188157
1352	0.4518691182
1353	0.4518208545
1354	0.4517539664
1355	0.4517115511
1356	0.4516530447
1357	0.4515565775
1358	0.45145774
1359	0.4514330449
1360	0.4513823571
1361	0.4513379383
1362	0.4512360356
1363	0.4511543646
1364	0.4511062618
1365	0.4510416044
1366	0.4509908891
1367	0.4509269418
1368	0.4508773368
1369	0.4507959927
1370	0.4507463293
1371	0.4506956899
1372	0.4506361695
1373	0.4505323714
1374	0.4504882276
1375	0.450419961
1376	0.4503574358
1377	0.4502771712
1378	0.4502375801
1379	0.4502071601
1380	0.450143172
1381	0.4500962742
1382	0.4500145211
1383	0.4499571454
1384	0.4498254566
1385	0.4497771997
